from,to,distance_km,time_minute
Serpong Natura City,The Breeze BSD City,11.9,26
Serpong Natura City,QBIG BSD City,14.5,32
Serpong Natura City,AEON Mall BSD,11.4,28
Serpong Natura City,TerasKota,10.9,25
Serpong Natura City,Living World Alam Sutera,18.2,38
Serpong Natura City,The Flavor Bliss - Broadway Alam Sutera,17.3,36
Serpong Natura City,IKEA Alam Sutera,21,42
Serpong Natura City,Scientia Square Park,19.4,38
Serpong Natura City,Branchsto BSD,17.3,33
Serpong Natura City,Supermal Karawaci,29.5,38
Serpong Natura City,Serpong Natura City,0,0
The Breeze BSD City,The Breeze BSD City,0,0
The Breeze BSD City,QBIG BSD City,3.6,10
The Breeze BSD City,AEON Mall BSD,1.6,5
The Breeze BSD City,TerasKota,4.4,12
The Breeze BSD City,Living World Alam Sutera,10.2,21
The Breeze BSD City,The Flavor Bliss - Broadway Alam Sutera,9.2,20
The Breeze BSD City,IKEA Alam Sutera,13,26
The Breeze BSD City,Scientia Square Park,8.5,16
The Breeze BSD City,Branchsto BSD,6.6,12
The Breeze BSD City,Supermal Karawaci,16.6,30
The Breeze BSD City,Serpong Natura City,9.7,24
QBIG BSD City,The Breeze BSD City,6.3,12
QBIG BSD City,QBIG BSD City,0,0
QBIG BSD City,AEON Mall BSD,3,7
QBIG BSD City,TerasKota,6.2,14
QBIG BSD City,Living World Alam Sutera,10.1,19
QBIG BSD City,The Flavor Bliss - Broadway Alam Sutera,9.1,19
QBIG BSD City,IKEA Alam Sutera,12.8,25
QBIG BSD City,Scientia Square Park,5.3,10
QBIG BSD City,Branchsto BSD,4.3,8
QBIG BSD City,Supermal Karawaci,9.8,24
QBIG BSD City,Serpong Natura City,15.2,33
AEON Mall BSD,The Breeze BSD City,4.4,10
AEON Mall BSD,QBIG BSD City,3,8
AEON Mall BSD,AEON Mall BSD,0,0
AEON Mall BSD,TerasKota,4.9,14
AEON Mall BSD,Living World Alam Sutera,10.7,23
AEON Mall BSD,The Flavor Bliss - Broadway Alam Sutera,9.7,22
AEON Mall BSD,IKEA Alam Sutera,13.5,28
AEON Mall BSD,Scientia Square Park,8,16
AEON Mall BSD,Branchsto BSD,6.1,11
AEON Mall BSD,Supermal Karawaci,13.2,30
AEON Mall BSD,Serpong Natura City,11.4,26
TerasKota,The Breeze BSD City,2.8,7
TerasKota,QBIG BSD City,5.4,14
TerasKota,AEON Mall BSD,3.7,9
TerasKota,TerasKota,0,0
TerasKota,Living World Alam Sutera,8.5,18
TerasKota,The Flavor Bliss - Broadway Alam Sutera,7.6,16
TerasKota,IKEA Alam Sutera,11.3,23
TerasKota,Scientia Square Park,10.3,21
TerasKota,Branchsto BSD,8.2,16
TerasKota,Supermal Karawaci,23.2,26
TerasKota,Serpong Natura City,10.3,24
Living World Alam Sutera,The Breeze BSD City,9.4,19
Living World Alam Sutera,QBIG BSD City,8.2,19
Living World Alam Sutera,AEON Mall BSD,8.7,20
Living World Alam Sutera,TerasKota,6.7,12
Living World Alam Sutera,Living World Alam Sutera,0,0
Living World Alam Sutera,The Flavor Bliss - Broadway Alam Sutera,0.85,3
Living World Alam Sutera,IKEA Alam Sutera,4.5,9
Living World Alam Sutera,Scientia Square Park,7.4,16
Living World Alam Sutera,Branchsto BSD,11,22
Living World Alam Sutera,Supermal Karawaci,9.1,17
